Framework Name,Control Family,Control Class,Control Number,Control Short Name,Control Long Name,Control Description,Supplemental Guidance,Domain Name,Domain Identifier
CMMC v1.02 Maturity Level 5,PROCESS MATURITY (ML),MC01: Improve Access Control activities,AC.5.995,AC.5.995,AC.5.995: Standardize and optimize a documented approach for Access Control across all applicable organizational units.,Standardize and optimize a documented approach for Access Control across all applicable organizational units.,"• CERT RMM v1.2 GG3.GP1
• CERT RMM v1.2 GG3.GP2",Access Control,AC
CMMC v1.02 Maturity Level 5,PROCESS MATURITY (ML),MC01: Improve Asset Management activities,AM.5.995,AM.5.995,AM.5.995: Standardize and optimize a documented approach for Asset Management across all applicable organizational units.,Standardize and optimize a documented approach for Asset Management across all applicable organizational units.,"• CERT RMM v1.2 GG3.GP1
• CERT RMM v1.2 GG3.GP3",Asset Management,AM
CMMC v1.02 Maturity Level 5,PROCESS MATURITY (ML),MC01: Improve Audit and Accountability activities,AU.5.995,AU.5.995,AU.5.995: Standardize and optimize a documented approach for Audit and Accountability across all applicable organizational units.,Standardize and optimize a documented approach for Audit and Accountability across all applicable organizational units.,"• CERT RMM v1.2 GG3.GP1
• CERT RMM v1.2 GG3.GP4",Audit and Accountability,AU
CMMC v1.02 Maturity Level 5,PROCESS MATURITY (ML),MC01: Improve Awareness and Training activities,AT.5.995,AT.5.995,AT.5.995: Standardize and optimize a documented approach for Awareness and Training across all applicable organizational units.,Standardize and optimize a documented approach for Awareness and Training across all applicable organizational units.,"• CERT RMM v1.2 GG3.GP1
• CERT RMM v1.2 GG3.GP5",Awareness and Training,AT
CMMC v1.02 Maturity Level 5,PROCESS MATURITY (ML),MC01: Improve Configuration Management activities,CM.5.995,CM.5.995,CM.5.995: Standardize and optimize a documented approach for Configuration Management across all applicable organizational units.,Standardize and optimize a documented approach for Configuration Management across all applicable organizational units.,"• CERT RMM v1.2 GG3.GP1
• CERT RMM v1.2 GG3.GP6",Configuration Management,CM
CMMC v1.02 Maturity Level 5,PROCESS MATURITY (ML),MC01: Improve Identification and Authentication activities,IA.5.995,IA.5.995,IA.5.995: Standardize and optimize a documented approach for Identification and Authentication across all applicable organizational units.,Standardize and optimize a documented approach for Identification and Authentication across all applicable organizational units.,"• CERT RMM v1.2 GG3.GP1
• CERT RMM v1.2 GG3.GP7",Identification and Authentication,IA
CMMC v1.02 Maturity Level 5,PROCESS MATURITY (ML),MC01: Improve Incident Response activities,IR.5.995,IR.5.995,IR.5.995: Standardize and optimize a documented approach for Incident Response across all applicable organizational units.,Standardize and optimize a documented approach for Incident Response across all applicable organizational units.,"• CERT RMM v1.2 GG3.GP1
• CERT RMM v1.2 GG3.GP8",Incident Response,IR
CMMC v1.02 Maturity Level 5,PROCESS MATURITY (ML),MC01: Improve Maintenance activities,MA.5.995,MA.5.995,MA.5.995: Standardize and optimize a documented approach for Maintenance across all applicable organizational units.,Standardize and optimize a documented approach for Maintenance across all applicable organizational units.,"• CERT RMM v1.2 GG3.GP1
• CERT RMM v1.2 GG3.GP9",Maintenance,MA
CMMC v1.02 Maturity Level 5,PROCESS MATURITY (ML),MC01: Improve Media Protection activities,MP.5.995,MP.5.995,MP.5.995: Standardize and optimize a documented approach for Media Protection across all applicable organizational units.,Standardize and optimize a documented approach for Media Protection across all applicable organizational units.,"• CERT RMM v1.2 GG3.GP1
• CERT RMM v1.2 GG3.GP10",Media Protection,MP
CMMC v1.02 Maturity Level 5,PROCESS MATURITY (ML),MC01: Improve Personnel Security activities,PS.5.995,PS.5.995,PS.5.995: Standardize and optimize a documented approach for Personnel Security across all applicable organizational units.,Standardize and optimize a documented approach for Personnel Security across all applicable organizational units.,"• CERT RMM v1.2 GG3.GP1
• CERT RMM v1.2 GG3.GP11",Personnel Security,PS
