Framework Name,Control Family,Control Class,Control Number,Control Short Name,Control Long Name,Control Description,Supplemental Guidance,Domain Name,Domain Identifier
CMMC v1.02 Maturity Level 2,PROCESS MATURITY (ML),MC01: Improve Access Control activities,AC.2.999,AC.2.999,AC.2.999: Establish a policy that includes Access Control.,Establish a policy that includes Access Control.,• CERT RMM v1.2 GG2.GP1 subpractice 2,Access Control,AC
CMMC v1.02 Maturity Level 2,PROCESS MATURITY (ML),MC01: Improve Access Control activities,AC.2.998,AC.2.998,AC.2.998: Document the CMMC practices to implement the Access Control policy.,Document the CMMC practices to implement the Access Control policy.,• CERT RMM v1.2 GG2.GP2 subpractice 2,Access Control,AC
CMMC v1.02 Maturity Level 2,PROCESS MATURITY (ML),MC01: Improve Asset Management activities,AM.2.999,AM.2.999,AM.2.999: Establish a policy that includes Asset Management.,Establish a policy that includes Asset Management.,• CERT RMM v1.2 GG2.GP1 subpractice 2,Asset Management,AM
CMMC v1.02 Maturity Level 2,PROCESS MATURITY (ML),MC01: Improve Asset Management activities,AM.2.998,AM.2.998,AM.2.998: Document the CMMC practices to implement the Asset Management policy.,Document the CMMC practices to implement the Asset Management policy.,• CERT RMM v1.2 GG2.GP2 subpractice 2,Asset Management,AM
CMMC v1.02 Maturity Level 2,PROCESS MATURITY (ML),MC01: Improve Audit and Accountability activities,AU.2.999,AU.2.999,AU.2.999: Establish a policy that includes Audit and Accountability.,Establish a policy that includes Audit and Accountability.,• CERT RMM v1.2 GG2.GP1 subpractice 2,Audit and Accountability,AU
CMMC v1.02 Maturity Level 2,PROCESS MATURITY (ML),MC01: Improve Audit and Accountability activities,AU.2.998,AU.2.998,AU.2.998: Document the CMMC practices to implement the Audit and Accountability policy.,Document the CMMC practices to implement the Audit and Accountability policy.,• CERT RMM v1.2 GG2.GP2 subpractice 2,Audit and Accountability,AU
CMMC v1.02 Maturity Level 2,PROCESS MATURITY (ML),MC01: Improve Awareness and Training activities,AT.2.999,AT.2.999,AT.2.999: Establish a policy that includes Awareness and Training.,Establish a policy that includes Awareness and Training.,• CERT RMM v1.2 GG2.GP1 subpractice 2,Awareness and Training,AT
CMMC v1.02 Maturity Level 2,PROCESS MATURITY (ML),MC01: Improve Awareness and Training activities,AT.2.998,AT.2.998,AT.2.998: Document the CMMC practices to implement the Awareness and Training policy.,Document the CMMC practices to implement the Awareness and Training policy.,• CERT RMM v1.2 GG2.GP2 subpractice 2,Awareness and Training,AT
CMMC v1.02 Maturity Level 2,PROCESS MATURITY (ML),MC01: Improve Configuration Management activities,CM.2.999,CM.2.999,CM.2.999: Establish a policy that includes Configuration Management.,Establish a policy that includes Configuration Management.,• CERT RMM v1.2 GG2.GP1 subpractice 2,Configuration Management,CM
CMMC v1.02 Maturity Level 2,PROCESS MATURITY (ML),MC01: Improve Configuration Management activities,CM.2.998,CM.2.998,CM.2.998: Document the CMMC practices to implement the Configuration Management policy.,Document the CMMC practices to implement the Configuration Management policy.,• CERT RMM v1.2 GG2.GP2 subpractice 2,Configuration Management,CM
