Framework Name,Control Family,Control Class,Control Number,Control Short Name,Control Long Name,Control Description,Supplemental Guidance,Domain Name,Domain Identifier
CMMC v1.02 Maturity Level 3,PROCESS MATURITY (ML),MC01: Improve Access Control activities,AC.3.997,AC.3.997,"AC.3.997: Establish, maintain, and resource a plan that includes Access Control.","Establish, maintain, and resource a plan that includes Access Control.","• CERT RMM v1.2 GG2.GP2
• CERT RMM v1.2 GG2.GP3",Access Control,AC
CMMC v1.02 Maturity Level 3,PROCESS MATURITY (ML),MC01: Improve Asset Management activities,AM.3.997,AM.3.997,"AM.3.997: Establish, maintain, and resource a plan that includes Asset Management.","Establish, maintain, and resource a plan that includes Asset Management.","• CERT RMM v1.2 GG2.GP2
• CERT RMM v1.2 GG2.GP3",Asset Management,AM
CMMC v1.02 Maturity Level 3,PROCESS MATURITY (ML),MC01: Improve Audit and Accountability activities,AU.3.997,AU.3.997,"AU.3.997: Establish, maintain, and resource a plan that includes Audit and Accountability.","Establish, maintain, and resource a plan that includes Audit and Accountability.","• CERT RMM v1.2 GG2.GP2
• CERT RMM v1.2 GG2.GP3",Audit and Accountability,AU
CMMC v1.02 Maturity Level 3,PROCESS MATURITY (ML),MC01: Improve Awareness and Training activities,AT.3.997,AT.3.997,"AT.3.997: Establish, maintain, and resource a plan that includes Awareness and Training.","Establish, maintain, and resource a plan that includes Awareness and Training.","• CERT RMM v1.2 GG2.GP2
• CERT RMM v1.2 GG2.GP3",Awareness and Training,AT
CMMC v1.02 Maturity Level 3,PROCESS MATURITY (ML),MC01: Improve Configuration Management activities,CM.3.997,CM.3.997,"CM.3.997: Establish, maintain, and resource a plan that includes Configuration Management.","Establish, maintain, and resource a plan that includes Configuration Management.","• CERT RMM v1.2 GG2.GP2
• CERT RMM v1.2 GG2.GP3",Configuration Management,CM
CMMC v1.02 Maturity Level 3,PROCESS MATURITY (ML),MC01: Improve Identification and Authentication activities,IA.3.997,IA.3.997,"IA.3.997: Establish, maintain, and resource a plan that includes Identification and Authentication.","Establish, maintain, and resource a plan that includes Identification and Authentication.","• CERT RMM v1.2 GG2.GP2
• CERT RMM v1.2 GG2.GP3",Identification and Authentication,IA
CMMC v1.02 Maturity Level 3,PROCESS MATURITY (ML),MC01: Improve Incident Response activities,IR.3.997,IR.3.997,"IR.3.997: Establish, maintain, and resource a plan that includes Incident Response.","Establish, maintain, and resource a plan that includes Incident Response.","• CERT RMM v1.2 GG2.GP2
• CERT RMM v1.2 GG2.GP3",Incident Response,IR
CMMC v1.02 Maturity Level 3,PROCESS MATURITY (ML),MC01: Improve Maintenance activities,MA.3.997,MA.3.997,"MA.3.997: Establish, maintain, and resource a plan that includes Maintenance.","Establish, maintain, and resource a plan that includes Maintenance.","• CERT RMM v1.2 GG2.GP2
• CERT RMM v1.2 GG2.GP3",Maintenance,MA
CMMC v1.02 Maturity Level 3,PROCESS MATURITY (ML),MC01: Improve Media Protection activities,MP.3.997,MP.3.997,"MP.3.997: Establish, maintain, and resource a plan that includes Media Protection.","Establish, maintain, and resource a plan that includes Media Protection.","• CERT RMM v1.2 GG2.GP2
• CERT RMM v1.2 GG2.GP3",Media Protection,MP
CMMC v1.02 Maturity Level 3,PROCESS MATURITY (ML),MC01: Improve Personnel Security activities,PS.3.997,PS.3.997,"PS.3.997: Establish, maintain, and resource a plan that includes Personnel Security.","Establish, maintain, and resource a plan that includes Personnel Security.","• CERT RMM v1.2 GG2.GP2
• CERT RMM v1.2 GG2.GP3",Personnel Security,PS
CMMC v1.02 Maturity Level 3,PROCESS MATURITY (ML),MC01: Improve Physical Protection activities,PE.3.997,PE.3.997,"PE.3.997: Establish, maintain, and resource a plan that includes Physical Protection.","Establish, maintain, and resource a plan that includes Physical Protection.","• CERT RMM v1.2 GG2.GP2
• CERT RMM v1.2 GG2.GP3",Physical Protection,PE
CMMC v1.02 Maturity Level 3,PROCESS MATURITY (ML),MC01: Improve Recovery activities,RE.3.997,RE.3.997,"RE.3.997: Establish, maintain, and resource a plan that includes Recovery.","Establish, maintain, and resource a plan that includes Recovery.","• CERT RMM v1.2 GG2.GP2
• CERT RMM v1.2 GG2.GP3",Recovery,RE
CMMC v1.02 Maturity Level 3,PROCESS MATURITY (ML),MC01: Improve Risk Management activities,RM.3.997,RM.3.997,"RM.3.997: Establish, maintain, and resource a plan that includes Risk Management.","Establish, maintain, and resource a plan that includes Risk Management.","• CERT RMM v1.2 GG2.GP2
• CERT RMM v1.2 GG2.GP3",Risk Management,RM
CMMC v1.02 Maturity Level 3,PROCESS MATURITY (ML),MC01: Improve Security Assessment activities,CA.3.997,CA.3.997,"CA.3.997: Establish, maintain, and resource a plan that includes Security Assessment.","Establish, maintain, and resource a plan that includes Security Assessment.","• CERT RMM v1.2 GG2.GP2
• CERT RMM v1.2 GG2.GP3",Security Assessment,CA
CMMC v1.02 Maturity Level 3,PROCESS MATURITY (ML),MC01: Improve Situational Awareness activities,SA.3.997,SA.3.997,"SA.3.997: Establish, maintain, and resource a plan that includes Situational Awareness.","Establish, maintain, and resource a plan that includes Situational Awareness.","• CERT RMM v1.2 GG2.GP2
• CERT RMM v1.2 GG2.GP3",Situational Awareness,SA
CMMC v1.02 Maturity Level 3,PROCESS MATURITY (ML),MC01: Improve System and Communications Protection activities,SC.3.997,SC.3.997,"SC.3.997: Establish, maintain, and resource a plan that includes System and Communications Protection.","Establish, maintain, and resource a plan that includes System and Communications Protection.","• CERT RMM v1.2 GG2.GP2
• CERT RMM v1.2 GG2.GP3",System and Communications Protection,SC
CMMC v1.02 Maturity Level 3,PROCESS MATURITY (ML),MC01: Improve System and Information Integrity activities,SI.3.997,SI.3.997,"SI.3.997: Establish, maintain, and resource a plan that includes System and Information Integrity.","Establish, maintain, and resource a plan that includes System and Information Integrity.","• CERT RMM v1.2 GG2.GP2
• CERT RMM v1.2 GG2.GP3",System and Information Integrity,SI
CMMC v1.02 Maturity Level 3,ACCESS CONTROL (AC),C002: Control internal system access,AC.3.017,AC.3.017,AC.3.017: Separate the duties of individuals to reduce the risk of malevolent activity without collusion.,Separate the duties of individuals to reduce the risk of malevolent activity without collusion.,"• NIST SP 800-171 Rev 1 3.1.4
• NIST CSF v1.1 PR.AC-4
• NIST SP 800-53 Rev 4 AC-5",,
CMMC v1.02 Maturity Level 3,ACCESS CONTROL (AC),C002: Control internal system access,AC.3.018,AC.3.018,AC.3.018: Prevent non-privileged users from executing privileged functions and capture the execution of such functions in audit logs.,Prevent non-privileged users from executing privileged functions and capture the execution of such functions in audit logs.,"• NIST SP 800-171 Rev 1 3.1.7
• NIST CSF v1.1 PR.AC-4
• CERT RMM v1.2 KIM:SG4.SP1
• NIST SP 800-53 Rev 4 AC-6(9), AC-6(10)",,
CMMC v1.02 Maturity Level 3,ACCESS CONTROL (AC),C002: Control internal system access,AC.3.019,AC.3.019,AC.3.019: Terminate (automatically) user sessions after a defined condition.,Terminate (automatically) user sessions after a defined condition.,"• NIST SP 800-171 Rev 1 3.1.11
• CIS Controls v7.1 16.7, 16.11
• NIST SP 800-53 Rev 4 AC-12",,
CMMC v1.02 Maturity Level 3,ACCESS CONTROL (AC),C002: Control internal system access,AC.3.012,AC.3.012,AC.3.012: Protect wireless access using authentication and encryption.,Protect wireless access using authentication and encryption.,"• NIST SP 800-171 Rev 1 3.1.17
• CIS Controls v7.1 15.7, 15.8
• NIST CSF v1.1 PR.PT-4
• CERT RMM v1.2 KIM:SG4.SP1
• NIST SP 800-53 Rev 4 AC-18(1)",,
CMMC v1.02 Maturity Level 3,ACCESS CONTROL (AC),C002: Control internal system access,AC.3.020,AC.3.020,AC.3.020: Control connection of mobile devices.,Control connection of mobile devices.,"• NIST SP 800-171 Rev 1 3.1.18
• CIS Controls v7.1 13.6, 16.7
• NIST CSF v1.1 PR.AC-3, PR.AC-6
• CERT RMM v1.2 TM:SG2.SP2
• NIST SP 800-53 Rev 4 AC-19
• UK NCSC Cyber Essentials",,
CMMC v1.02 Maturity Level 3,ACCESS CONTROL (AC),C003: Control remote system access,AC.3.014,AC.3.014,AC.3.014: Employ cryptographic mechanisms to protect the confidentiality of remote access sessions.,Employ cryptographic mechanisms to protect the confidentiality of remote access sessions.,"• NIST SP 800-171 Rev 1 3.1.13
• CIS Controls v7.1 15.7, 15.8
• NIST CSF v1.1 PR.AC-3, PR.PT-4
• CERT RMM v1.2 KIM:SG4.SP1
• NIST SP 800-53 Rev 4 AC-17(2)",,
